Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity
2013-11-10,285.8875,115715,4311795446545720,9027025.0,20617682,2194426515333220000,45.83360662,3883509.2857142864,124.279999,49.459998999999996,20.690001000000002,177.28999299999995,103.410004,21.9,1.812959206,10
2013-11-11,304.97974,114927,4611175817683750,9022350.0,20672176,2194426515333220000,62.22351764,3891480.857142857,123.870003,49.599998,20.6,177.320007,103.019997,21.84,1.812959206,10
2013-11-12,338.13699999999994,115057,5063944910357710,9017325.0,20734570,2194426515333220000,22.51123231,3899452.4285714286,122.449997,49.110001000000004,20.0,176.96000700000005,103.5,21.85,1.812959206,10
2013-11-13,357.48,122181,4232648158162810,9013125.0,20800574,2194426515333220000,23.04229153,3907424.0,122.849998,49.450001,19.780001000000002,178.380005,103.879997,21.799999,1.812959206,10
2013-11-14,402.954,132459,4574742570298910,9008550.0,20875800,2194426515333220000,23.13862517,3907309.142857143,124.269997,49.82,20.049999,179.270004,104.519997,21.799999,1.812959206,10
2013-11-15,409.10375,118695,4097441048618320,9004400.0,20942233,2194426515333220000,17.31629565,3907194.2857142864,124.32,50.150002,20.0,180.050003,104.730003,21.76,1.812959206,10
2013-11-16,420.21649,102572,4808371008444430,8999550.0,20997661,2194426515333220000,14.265989800000002,3907079.4285714286,124.32,50.150002,20.0,180.050003,104.730003,21.76,1.812959206,10
2013-11-17,437.29725,106668,4782484799111360,8994900.0,21055618,2617708177598920000,17.08725612,3906964.5714285714,124.32,50.150002,20.0,180.050003,104.730003,21.76,1.812959206,10
2013-11-18,510.6025,163680,4704149059491890,8991000.0,21154119,2617708177598920000,27.23178132,3906849.7142857136,122.900002,49.75,19.67,179.419998,105.360001,21.73,1.812959206,10
2013-11-19,693.65,206980,4788182285568180,8986975.0,21276688,2617708177598920000,31.59785609,3906734.857142857,122.949997,49.77,19.610001,179.029999,104.559998,21.719998999999998,1.812959206,10
2013-11-20,531.54249,164365,4920447697122290,8982875.0,21371314,2617708177598920000,25.27945207,3906620.0,120.120003,49.59,19.139999,178.470001,102.779999,21.82,1.812959206,10
2013-11-21,574.71599,187781,4465300809004810,8979125.0,21458301,2617708177598920000,26.55807643,3909370.857142857,119.940002,50.060001,19.24,179.91000400000001,102.949997,21.82,1.812959206,10
2013-11-22,681.33,164716,5169356784199750,8974825.0,21550843,2617708177598920000,23.29739671,3912121.7142857136,119.91999799999999,50.330002,19.129998999999998,180.809998,103.910004,21.73,1.812959206,10
2013-11-23,774.18,149482,5162952794215500,8970575.0,21640331,2617708177598920000,21.01611529,3914872.5714285714,119.91999799999999,50.330002,19.129998999999998,180.809998,103.910004,21.73,1.812959206,10
2013-11-24,746.19374,123604,5027551059602600,8966375.0,21707199,2617708177598920000,17.53595197,3917623.4285714286,119.91999799999999,50.330002,19.129998999999998,180.809998,103.910004,21.73,1.812959206,10
2013-11-25,768.8475,142032,5113230827787020,8962050.0,21787969,2617708177598920000,19.60120774,3920374.2857142864,120.459999,49.82,19.27,180.630005,104.209999,21.76,1.812959206,10
2013-11-26,789.36475,178735,4809739302004120,8958100.0,21893718,2617708177598920000,25.2369173,3923125.142857143,119.82,49.709998999999996,19.129998999999998,180.679993,104.599998,21.690001000000002,1.812959206,10
2013-11-27,893.1815,197974,5115252278550280,8953775.0,22014557,2617708177598920000,30.41271141,3925876.0,119.459999,49.32,18.959999,181.119995,104.41999799999999,21.719998999999998,1.812959206,10
2013-11-28,934.355,200988,5442845919580530,8949225.0,22133596,2617708177598920000,30.73997164,3926840.2857142864,119.459999,49.32,18.959999,181.119995,104.41999799999999,21.719998999999998,1.812959206,10
2013-11-29,1068.363,188638,5432557879744340,8944900.0,22245489,3038295440625690000,26.09068458,3927804.5714285714,120.699997,48.919998,19.24,181.0,104.449997,21.700001,1.812959206,10
2013-11-30,1154.92593,162746,6183967036151830,8940475.0,22339477,3038295440625690000,20.18102674,3928768.857142857,120.699997,48.919998,19.24,181.0,104.449997,21.700001,1.812959206,10
2013-12-01,1099.51926,165741,6027444029930410,8935625.0,22430792,3038295440625690000,18.88083922,3929733.142857143,120.699997,48.919998,19.24,181.0,104.449997,21.700001,1.880977815,12
2013-12-02,1019.7896599999999,176727,5486654723099720,8931650.0,22528931,3038295440625690000,21.13751064,3930697.4285714286,117.58000200000001,49.330002,18.459999,180.529999,103.33000200000001,21.77,1.880977815,12
2013-12-03,1028.845,172692,6743600396465810,8926650.0,22632102,3038295440625690000,20.40592636,3931661.7142857136,117.959999,49.400002,18.42,179.75,103.709999,21.700001,1.880977815,12
2013-12-04,1071.2848,182763,6005855252719350,8922425.0,22739217,3038295440625690000,20.83224443,3932626.0,119.959999,49.279999,19.0,179.729996,102.720001,21.690001000000002,1.880977815,12
2013-12-05,1139.33083,182715,5901490195680710,8918125.0,22851222,3038295440625690000,22.54506788,3941387.2857142864,118.300003,49.110001000000004,18.690001000000002,178.940002,102.43,21.58,1.880977815,12
2013-12-06,1004.6163300000001,167765,7184854722141740,8912925.0,22945943,3038295440625690000,19.20163235,3950148.5714285714,118.550003,49.259997999999996,18.76,180.940002,102.91999799999999,21.58,1.880977815,12
2013-12-07,759.4304099999997,148960,6697273590635840,8908050.0,23031309,3038295440625690000,37.49123851,3958909.857142857,118.550003,49.259997999999996,18.76,180.940002,102.91999799999999,21.58,1.880977815,12
2013-12-08,689.81,113253,6773613030308680,8903175.0,23090266,3038295440625690000,11.38643048,3967671.142857143,118.550003,49.259997999999996,18.76,180.940002,102.91999799999999,21.58,1.880977815,12
2013-12-09,841.83966,155386,6147425994414290,8898800.0,23175318,3038295440625690000,17.04236096,3976432.4285714286,119.720001,49.279999,19.120001000000002,181.399994,103.160004,21.559998999999998,1.880977815,12
2013-12-10,916.7759900000001,152729,7372041995071730,8893975.0,23257269,3901337247460400000,17.50092456,3985193.7142857136,121.82,49.16,19.66,180.75,103.900002,21.5,1.880977815,12
2013-12-11,967.4286599999999,151480,7300654915121030,8889850.0,23340601,3901337247460400000,17.44596076,3993955.0,120.860001,48.43,19.549999,178.720001,103.099998,21.49,1.880977815,12
2013-12-12,866.2900300000001,128765,7318486987709410,8885800.0,23412087,3901337247460400000,14.34126064,3995970.2857142864,118.290001,48.669998,18.809998999999998,178.130005,102.709999,21.57,1.880977815,12
2013-12-13,911.23204,143726,7728938643494370,8881400.0,23490130,3901337247460400000,15.13416963,3997985.5714285714,119.379997,48.439999,18.950001,178.110001,103.209999,21.58,1.880977815,12
2013-12-14,889.8194599999997,147127,8864945717630400,8876475.0,23562862,3901337247460400000,12.4010342,4000000.857142857,119.379997,48.439999,18.950001,178.110001,103.209999,21.58,1.880977815,12
2013-12-15,848.9975,139100,7893291262407890,8872050.0,23629440,3901337247460400000,11.51956075,4002016.142857143,119.379997,48.439999,18.950001,178.110001,103.209999,21.58,1.880977815,12
2013-12-16,868.9531599999997,175647,8607024484562730,8867025.0,23719666,3901337247460400000,15.70545173,4004031.4285714286,119.690002,48.970001,19.219998999999998,179.220001,102.83000200000001,21.540001,1.880977815,12
2013-12-17,653.80483,156965,9084533497378490,8861950.0,23804408,3901337247460400000,15.20684554,4006046.7142857136,118.650002,48.700001,19.139999,178.649994,103.290001,21.540001,1.880977815,12
2013-12-18,654.0626599999998,179980,8696733678850020,8856975.0,23904989,3901337247460400000,18.64447134,4008062.0,117.610001,49.459998999999996,19.09,181.699997,102.769997,21.629998999999998,1.880977815,12
2013-12-19,553.69166,155885,10070842009435200,8851325.0,23990298,3901337247460400000,16.48965383,4011563.857142857,114.82,49.540001000000004,18.49,181.490005,102.66999799999999,21.68,1.880977815,12
2013-12-20,693.05883,152391,7859901643969030,8846875.0,24066666,3901337247460400000,16.24432139,4015065.7142857136,115.940002,49.689999,18.620001000000002,181.559998,104.25,21.66,1.880977815,12
2013-12-21,649.38965,125334,8563010604674840,8842850.0,24134338,5072026502721040000,12.43490207,4018567.5714285714,115.940002,49.689999,18.620001000000002,181.559998,104.25,21.66,1.880977815,12
2013-12-22,595.95883,122324,9756228490648160,8838625.0,24196441,5072026502721040000,11.46529505,4022069.4285714286,115.940002,49.689999,18.620001000000002,181.559998,104.25,21.66,1.880977815,12
2013-12-23,647.6831599999998,151429,9904152424493250,8834350.0,24275318,5072026502721040000,12.11174057,4025571.2857142864,115.57,49.509997999999996,18.719998999999998,182.529999,103.660004,21.620001000000002,1.880977815,12
2013-12-24,671.58116,127770,9809373436021380,8830125.0,24349929,5072026502721040000,12.06624608,4029073.142857143,116.099998,49.779999,18.76,182.929993,102.83000200000001,21.639999,1.880977815,12
